Timestamp,Reading,Unit,LDC_Val_2,LDC_Val_1
2024-01-25 19:43:14.171084,40.29,mm,19,17
2024-01-25 19:43:14.361328,40.28,mm,17,15
2024-01-25 19:43:14.551369,40.28,mm,16,15
2024-01-25 19:43:15.217151,40.28,mm,18,15
2024-01-25 19:43:15.594462,40.28,mm,19,16
2024-01-25 19:43:15.922619,40.28,mm,19,17
2024-01-25 19:43:16.151702,40.28,mm,19,16
2024-01-25 19:43:16.210907,40.28,mm,19,16
2024-01-25 19:43:16.343150,40.28,mm,19,17
2024-01-25 19:43:16.578370,40.28,mm,19,17
2024-01-25 19:43:16.801047,40.28,mm,19,16
2024-01-25 19:43:16.954602,40.28,mm,19,16
2024-01-25 19:43:17.019131,40.28,mm,18,16
2024-01-25 19:43:17.325413,40.28,mm,18,16
2024-01-25 19:43:17.547114,40.28,mm,18,16
2024-01-25 19:43:17.929631,40.28,mm,19,17
2024-01-25 19:43:18.056829,40.28,mm,19,16
2024-01-25 19:43:18.549326,40.28,mm,17,14
2024-01-25 19:43:18.675938,40.28,mm,17,15
2024-01-25 19:43:18.938608,40.28,mm,16,14
2024-01-25 19:43:19.152077,40.28,mm,16,14
2024-01-25 19:43:19.490465,40.28,mm,16,15
2024-01-25 19:43:19.666512,40.28,mm,17,15
2024-01-25 19:43:19.863297,40.28,mm,18,16
2024-01-25 19:43:20.130842,40.28,mm,19,16
2024-01-25 19:43:20.367872,40.28,mm,20,17
2024-01-25 19:43:20.558573,40.28,mm,20,17
2024-01-25 19:43:20.971003,40.28,mm,19,17
2024-01-25 19:43:21.098191,40.30,mm,19,16
2024-01-25 19:43:21.336356,40.28,mm,19,17
2024-01-25 19:43:21.828696,40.28,mm,19,17
2024-01-25 19:43:22.138421,40.28,mm,20,17
2024-01-25 19:43:22.366579,39.78,mm,18,16
2024-01-25 19:43:22.619018,39.46,mm,16,15
2024-01-25 19:43:22.834309,39.12,mm,15,14
2024-01-25 19:43:22.971921,38.37,mm,15,14
2024-01-25 19:43:23.208926,37.77,mm,15,14
2024-01-25 19:43:23.299059,37.04,mm,16,14
2024-01-25 19:43:23.683924,36.28,mm,17,15
2024-01-25 19:43:24.094529,35.52,mm,17,15
2024-01-25 19:43:24.555036,35.09,mm,18,16
2024-01-25 19:43:24.840679,34.44,mm,16,14
2024-01-25 19:43:25.186982,33.71,mm,16,14
2024-01-25 19:43:25.291109,32.96,mm,16,14
2024-01-25 19:43:25.632481,32.20,mm,15,13
2024-01-25 19:43:25.962667,31.30,mm,14,12
2024-01-25 19:43:26.265866,30.41,mm,14,12
2024-01-25 19:43:26.403040,29.80,mm,15,12
2024-01-25 19:43:26.643124,28.87,mm,15,13
2024-01-25 19:43:26.917004,28.19,mm,15,13
2024-01-25 19:43:27.202492,27.44,mm,15,13
2024-01-25 19:43:27.537052,26.84,mm,15,13
2024-01-25 19:43:27.600562,26.49,mm,15,13
2024-01-25 19:43:27.760206,26.06,mm,15,13
2024-01-25 19:43:27.950935,25.70,mm,15,13
2024-01-25 19:43:28.188300,25.39,mm,16,13
2024-01-25 19:43:28.282950,25.08,mm,15,13
2024-01-25 19:43:28.741800,24.80,mm,15,14
2024-01-25 19:43:28.834616,24.48,mm,16,14
2024-01-25 19:43:29.050687,24.27,mm,15,13
2024-01-25 19:43:29.297349,23.88,mm,15,13
2024-01-25 19:43:29.741804,23.51,mm,14,12
2024-01-25 19:43:30.185931,23.13,mm,14,11
2024-01-25 19:43:30.328002,22.77,mm,14,11
2024-01-25 19:43:30.392005,22.36,mm,13,11
2024-01-25 19:43:30.502813,22.07,mm,13,11
2024-01-25 19:43:30.690382,22.07,mm,13,11
2024-01-25 19:43:31.138529,22.05,mm,13,11
2024-01-25 19:43:31.306756,22.04,mm,13,11
2024-01-25 19:43:31.498458,21.81,mm,13,11
2024-01-25 19:43:31.756617,21.38,mm,12,10
2024-01-25 19:43:32.057512,20.96,mm,11,10
2024-01-25 19:43:32.376082,20.68,mm,10,9
2024-01-25 19:43:32.531180,20.34,mm,10,9
2024-01-25 19:43:32.896450,20.12,mm,9,7
2024-01-25 19:43:33.006001,19.89,mm,8,7
2024-01-25 19:43:33.450835,19.52,mm,7,6
2024-01-25 19:43:33.627113,19.21,mm,7,5
2024-01-25 19:43:33.723594,19.05,mm,7,5
2024-01-25 19:43:34.070802,18.87,mm,6,4
2024-01-25 19:43:34.483677,18.69,mm,5,3
2024-01-25 19:43:34.753878,18.54,mm,4,3
2024-01-25 19:43:34.991496,18.40,mm,4,3
2024-01-25 19:43:35.148592,18.30,mm,3,2
2024-01-25 19:43:35.544236,18.14,mm,3,1
2024-01-25 19:43:35.687417,17.98,mm,2,1
2024-01-25 19:43:35.987937,17.79,mm,1,0
2024-01-25 19:43:36.122691,17.55,mm,1,0
2024-01-25 19:43:36.384772,17.39,mm,0,0
2024-01-25 19:43:36.559974,17.18,mm,-1,-1
2024-01-25 19:43:36.798698,16.95,mm,-1,-3
2024-01-25 19:43:37.098258,16.75,mm,-2,-3
2024-01-25 19:43:37.320615,16.68,mm,-2,-4
2024-01-25 19:43:37.701232,16.54,mm,-3,-4
2024-01-25 19:43:37.939230,16.44,mm,-4,-5
2024-01-25 19:43:38.286284,16.28,mm,-6,-7
2024-01-25 19:43:38.476354,16.15,mm,-7,-8
2024-01-25 19:43:38.808542,16.02,mm,-7,-9
2024-01-25 19:43:39.031740,15.86,mm,-8,-9
2024-01-25 19:43:39.174353,15.74,mm,-10,-11
2024-01-25 19:43:39.348116,15.56,mm,-11,-11
2024-01-25 19:43:39.755041,15.41,mm,-13,-14
2024-01-25 19:43:39.904713,15.26,mm,-13,-14
2024-01-25 19:43:40.283905,15.06,mm,-17,-18
2024-01-25 19:43:40.346509,14.91,mm,-18,-19
2024-01-25 19:43:40.631140,14.67,mm,-21,-21
2024-01-25 19:43:41.071998,14.51,mm,-25,-25
2024-01-25 19:43:41.311182,14.30,mm,-27,-27
2024-01-25 19:43:41.596322,14.09,mm,-30,-31
2024-01-25 19:43:41.833662,13.91,mm,-33,-33
2024-01-25 19:43:41.929206,13.76,mm,-33,-34
2024-01-25 19:43:42.307562,13.57,mm,-40,-39
2024-01-25 19:43:42.515658,13.34,mm,-43,-43
2024-01-25 19:43:42.689299,13.15,mm,-46,-45
2024-01-25 19:43:42.924954,12.94,mm,-48,-47
2024-01-25 19:43:43.362648,12.86,mm,-56,-56
2024-01-25 19:43:43.554783,12.69,mm,-57,-58
2024-01-25 19:43:43.854953,12.41,mm,-57,-58
2024-01-25 19:43:44.093004,12.39,mm,-64,-65
2024-01-25 19:43:44.323101,12.28,mm,-69,-69
2024-01-25 19:43:44.554325,12.04,mm,-70,-70
2024-01-25 19:43:44.904606,11.97,mm,-69,-69
2024-01-25 19:43:45.201814,11.90,mm,-73,-73
2024-01-25 19:43:45.470047,11.88,mm,-74,-74
2024-01-25 19:43:45.644802,11.77,mm,-75,-75
2024-01-25 19:43:45.899977,11.72,mm,-78,-79
2024-01-25 19:43:46.170300,11.67,mm,-80,-81
2024-01-25 19:43:46.438902,11.61,mm,-84,-84
2024-01-25 19:43:46.691614,11.53,mm,-86,-86
2024-01-25 19:43:47.026405,11.47,mm,-88,-87
2024-01-25 19:43:47.279022,11.35,mm,-93,-93
2024-01-25 19:43:47.562696,11.38,mm,-97,-96
2024-01-25 19:43:47.724928,11.22,mm,-99,-98
2024-01-25 19:43:47.930623,11.16,mm,-102,-101
2024-01-25 19:43:48.215949,11.08,mm,-108,-108
2024-01-25 19:43:48.581281,10.89,mm,-118,-116
2024-01-25 19:43:49.010036,10.82,mm,-130,-129
2024-01-25 19:43:49.118612,10.66,mm,-132,-130
2024-01-25 19:43:49.427167,10.53,mm,-138,-137
2024-01-25 19:43:49.730983,10.38,mm,-143,-142
2024-01-25 19:43:50.106938,10.31,mm,-148,-146
2024-01-25 19:43:50.338648,10.19,mm,-149,-147
2024-01-25 19:43:50.475162,10.17,mm,-150,-148
2024-01-25 19:43:50.719841,10.11,mm,-154,-153
2024-01-25 19:43:50.782842,10.07,mm,-155,-154
2024-01-25 19:43:50.989988,10.05,mm,-156,-154
2024-01-25 19:43:51.164079,10.00,mm,-156,-155
2024-01-25 19:43:51.195079,9.99,mm,-160,-158
2024-01-25 19:43:51.762689,9.90,mm,-164,-163
2024-01-25 19:43:51.994825,9.90,mm,-166,-164
2024-01-25 19:43:52.264191,9.85,mm,-170,-168
2024-01-25 19:43:52.660343,9.79,mm,-171,-168
2024-01-25 19:43:52.993880,9.74,mm,-175,-174
