Timestamp,Reading,Unit,LDC_Val_2,LDC_Val_1
2023-12-29 20:57:53.210195,52.41,mm,-34,-23
2023-12-29 20:57:53.488775,52.41,mm,-35,-23
2023-12-29 20:57:53.770902,52.41,mm,-35,-23
2023-12-29 20:57:54.006957,52.41,mm,-35,-23
2023-12-29 20:57:54.384673,52.41,mm,-35,-23
2023-12-29 20:57:54.654242,52.41,mm,-35,-23
2023-12-29 20:57:54.764295,52.41,mm,-35,-23
2023-12-29 20:57:55.002906,52.41,mm,-35,-23
2023-12-29 20:57:55.238481,52.41,mm,-35,-23
2023-12-29 20:57:55.633574,52.41,mm,-35,-23
2023-12-29 20:57:56.027710,52.41,mm,-36,-24
2023-12-29 20:57:56.372313,52.41,mm,-38,-25
2023-12-29 20:57:56.670896,52.41,mm,-39,-26
2023-12-29 20:57:57.048527,52.41,mm,-40,-26
2023-12-29 20:57:57.380139,52.41,mm,-38,-25
2023-12-29 20:57:57.977849,52.41,mm,-39,-26
2023-12-29 20:57:58.292421,52.41,mm,-40,-27
2023-12-29 20:57:58.653796,52.44,mm,-40,-27
2023-12-29 20:57:58.931398,52.45,mm,-41,-27
2023-12-29 20:57:59.297994,51.48,mm,-40,-27
2023-12-29 20:57:59.596560,50.28,mm,-41,-27
2023-12-29 20:57:59.880175,48.79,mm,-41,-27
2023-12-29 20:58:00.179760,47.18,mm,-41,-27
2023-12-29 20:58:00.570901,46.07,mm,-42,-28
2023-12-29 20:58:01.016915,44.88,mm,-42,-29
2023-12-29 20:58:01.365482,43.66,mm,-44,-29
2023-12-29 20:58:01.708061,42.22,mm,-44,-30
2023-12-29 20:58:02.011176,40.21,mm,-45,-30
2023-12-29 20:58:02.339297,38.81,mm,-46,-30
2023-12-29 20:58:02.766003,38.06,mm,-47,-31
2023-12-29 20:58:03.154681,35.98,mm,-48,-32
2023-12-29 20:58:03.459267,34.67,mm,-49,-32
2023-12-29 20:58:03.873378,33.60,mm,-50,-32
2023-12-29 20:58:04.153264,32.28,mm,-50,-33
2023-12-29 20:58:04.341844,30.87,mm,-51,-33
2023-12-29 20:58:04.618989,29.43,mm,-51,-33
2023-12-29 20:58:04.957557,28.31,mm,-54,-34
2023-12-29 20:58:05.177899,28.33,mm,-55,-34
2023-12-29 20:58:05.271433,27.87,mm,-55,-34
2023-12-29 20:58:05.579010,26.89,mm,-58,-34
2023-12-29 20:58:05.902148,25.79,mm,-59,-35
2023-12-29 20:58:06.406794,24.72,mm,-62,-36
2023-12-29 20:58:06.897421,23.94,mm,-65,-37
2023-12-29 20:58:07.178024,23.25,mm,-67,-37
2023-12-29 20:58:07.530688,22.79,mm,-73,-37
2023-12-29 20:58:07.739753,22.29,mm,-77,-38
2023-12-29 20:58:07.740752,21.87,mm,-78,-38
2023-12-29 20:58:07.976814,21.43,mm,-83,-39
2023-12-29 20:58:07.977814,20.91,mm,-83,-39
2023-12-29 20:58:07.977814,20.39,mm,-83,-39
2023-12-29 20:58:07.978815,19.94,mm,-83,-39
2023-12-29 20:58:07.978815,19.51,mm,-83,-39
2023-12-29 20:58:07.979811,19.04,mm,-83,-39
2023-12-29 20:58:07.979811,18.63,mm,-83,-39
2023-12-29 20:58:07.980815,18.28,mm,-83,-39
2023-12-29 20:58:07.980815,17.96,mm,-83,-39
2023-12-29 20:58:08.480492,17.59,mm,-93,-40
2023-12-29 20:58:09.002138,17.27,mm,-108,-41
2023-12-29 20:58:09.382277,16.95,mm,-117,-42
2023-12-29 20:58:09.697860,16.46,mm,-128,-43
2023-12-29 20:58:09.856912,15.92,mm,-137,-43
2023-12-29 20:58:09.951440,15.22,mm,-139,-44
2023-12-29 20:58:09.953587,14.82,mm,-139,-44
2023-12-29 20:58:09.953587,14.32,mm,-139,-44
2023-12-29 20:58:10.347108,13.93,mm,-159,-44
2023-12-29 20:58:10.676704,13.55,mm,-175,-45
2023-12-29 20:58:11.041798,13.16,mm,-190,-45
2023-12-29 20:58:11.554994,12.74,mm,-202,-46
2023-12-29 20:58:12.146097,12.54,mm,-218,-47
2023-12-29 20:58:12.434688,12.20,mm,-256,-48
2023-12-29 20:58:12.852327,11.90,mm,-299,-48
2023-12-29 20:58:13.307361,11.57,mm,-376,-50
2023-12-29 20:58:13.811577,11.21,mm,-455,-51
2023-12-29 20:58:14.176205,10.95,mm,-521,-52
2023-12-29 20:58:14.176205,10.65,mm,-521,-52
2023-12-29 20:58:14.177202,10.50,mm,-521,-52
2023-12-29 20:58:14.914827,10.25,mm,-700,-54
2023-12-29 20:58:15.309644,10.25,mm,-851,-55
2023-12-29 20:58:15.651828,10.24,mm,-1004,-55
2023-12-29 20:58:16.178447,10.22,mm,-1298,-57
2023-12-29 20:58:16.589577,9.91,mm,-1627,-59
2023-12-29 20:58:16.889690,9.46,mm,-1920,-60
2023-12-29 20:58:17.402326,9.14,mm,-2445,-62
2023-12-29 20:58:17.763436,8.81,mm,-2722,-63
2023-12-29 20:58:18.112031,8.46,mm,-3056,-65
2023-12-29 20:58:18.396135,8.22,mm,-3355,-66
2023-12-29 20:58:18.674702,7.96,mm,-3621,-67
2023-12-29 20:58:19.232844,7.69,mm,-4445,-70
2023-12-29 20:58:19.570493,7.53,mm,-5000,-72
2023-12-29 20:58:19.833113,7.26,mm,-5372,-73
2023-12-29 20:58:20.148693,7.00,mm,-5722,-74
2023-12-29 20:58:20.433996,6.80,mm,-6249,-76
2023-12-29 20:58:20.750575,6.52,mm,-7086,-79
2023-12-29 20:58:21.128208,6.33,mm,-8049,-82
2023-12-29 20:58:21.129210,6.11,mm,-8200,-82
2023-12-29 20:58:21.363291,5.90,mm,-9264,-85
2023-12-29 20:58:21.690904,5.59,mm,-10870,-89
2023-12-29 20:58:22.067015,5.29,mm,-11530,-91
2023-12-29 20:58:22.416144,5.08,mm,-13083,-95
2023-12-29 20:58:22.775238,4.79,mm,-14701,-98
2023-12-29 20:58:23.305460,4.62,mm,-17147,-107
2023-12-29 20:58:24.011442,4.36,mm,-23440,-123
2023-12-29 20:58:24.512123,4.21,mm,13042,-140
2023-12-29 20:58:24.867216,4.13,mm,12373,-141
2023-12-29 20:58:25.104792,3.95,mm,12325,-141
2023-12-29 20:58:25.434687,3.83,mm,12261,-140
2023-12-29 20:58:25.739304,3.70,mm,12223,-143
2023-12-29 20:58:26.010359,3.50,mm,12182,-143
2023-12-29 20:58:26.297919,3.37,mm,12144,-144
2023-12-29 20:58:26.614034,3.29,mm,12122,-145
2023-12-29 20:58:26.848598,3.12,mm,12108,-145
2023-12-29 20:58:27.227699,3.06,mm,12103,-146
2023-12-29 20:58:27.525302,2.89,mm,12119,-145
2023-12-29 20:58:27.982410,2.81,mm,12130,-147
2023-12-29 20:58:28.219465,2.73,mm,12164,-146
2023-12-29 20:58:28.406518,2.57,mm,12356,-147
2023-12-29 20:58:28.518054,2.42,mm,12615,-147
2023-12-29 20:58:28.802154,2.25,mm,17064,-145
2023-12-29 20:58:28.802154,2.12,mm,17064,-145
2023-12-29 20:58:28.802154,1.95,mm,17064,-145
2023-12-29 20:58:28.803155,1.89,mm,17457,-145
2023-12-29 20:58:28.804160,1.85,mm,17457,-145
2023-12-29 20:58:29.276246,1.71,mm,17391,-145
2023-12-29 20:58:29.571849,1.62,mm,17356,-144
2023-12-29 20:58:29.996944,1.42,mm,17395,-144
2023-12-29 20:58:30.297526,1.29,mm,18554,-144
2023-12-29 20:58:30.407067,1.12,mm,28664,-141
2023-12-29 20:58:30.785715,0.93,mm,-24859,-130
2023-12-29 20:58:31.065783,0.82,mm,-21435,-123
2023-12-29 20:58:31.396373,0.60,mm,-16773,-111
2023-12-29 20:58:31.777498,0.12,mm,-15067,-105
2023-12-29 20:58:32.045081,0.02,mm,-12208,-99
2023-12-29 20:58:32.280140,0.02,mm,-10083,-95
2023-12-29 20:58:32.722805,-0.01,mm,-7788,-90
2023-12-29 20:58:32.991376,0.01,mm,-6520,-86
2023-12-29 20:58:33.731158,0.01,mm,-4858,-82
2023-12-29 20:58:34.058739,0.01,mm,-4379,-81
2023-12-29 20:58:34.390311,0.01,mm,-3648,-79
2023-12-29 20:58:34.753964,0.01,mm,-3442,-78
2023-12-29 20:58:35.134067,0.01,mm,-3323,-78
2023-12-29 20:58:35.387111,0.01,mm,-3318,-78
2023-12-29 20:58:35.886778,0.01,mm,-3321,-78
2023-12-29 20:58:36.226881,0.01,mm,-3235,-78
2023-12-29 20:58:36.651972,0.01,mm,-2706,-77
2023-12-29 20:58:36.835043,0.01,mm,-2477,-77
2023-12-29 20:58:37.175612,0.01,mm,-2360,-76
2023-12-29 20:58:37.506219,0.01,mm,-2220,-76
2023-12-29 20:58:38.074383,0.01,mm,-1918,-75
2023-12-29 20:58:38.483476,0.03,mm,-1485,-74
2023-12-29 20:58:38.811604,0.06,mm,-1296,-73
2023-12-29 20:58:39.242215,0.06,mm,-1103,-72
2023-12-29 20:58:39.400741,0.08,mm,-948,-71
2023-12-29 20:58:39.893878,0.08,mm,-856,-71
2023-12-29 20:58:40.491032,0.07,mm,-775,-71
2023-12-29 20:58:40.957693,0.07,mm,-660,-71
2023-12-29 20:58:41.154738,0.35,mm,-629,-70
2023-12-29 20:58:41.322805,0.66,mm,-595,-70
2023-12-29 20:58:41.678601,0.81,mm,-556,-70
2023-12-29 20:58:42.091733,1.06,mm,-485,-70
2023-12-29 20:58:42.394304,1.34,mm,-451,-70
2023-12-29 20:58:42.610890,1.46,mm,-435,-70
2023-12-29 20:58:42.859009,1.71,mm,-427,-70
2023-12-29 20:58:43.299108,1.95,mm,-427,-70
2023-12-29 20:58:43.676202,2.15,mm,-375,-70
2023-12-29 20:58:43.958324,2.38,mm,-345,-69
2023-12-29 20:58:44.147369,2.62,mm,-341,-69
2023-12-29 20:58:44.458950,2.88,mm,-322,-69
2023-12-29 20:58:44.945550,3.01,mm,-284,-69
2023-12-29 20:58:45.364657,3.16,mm,-258,-68
2023-12-29 20:58:45.662784,3.30,mm,-244,-67
2023-12-29 20:58:45.820320,3.48,mm,-241,-68
2023-12-29 20:58:46.438241,3.64,mm,-218,-67
2023-12-29 20:58:47.021409,3.72,mm,-199,-67
2023-12-29 20:58:47.346502,3.82,mm,-188,-66
2023-12-29 20:58:47.627089,3.83,mm,-180,-66
2023-12-29 20:58:48.045722,3.81,mm,-172,-66
2023-12-29 20:58:48.471815,3.81,mm,-160,-66
2023-12-29 20:58:48.722867,3.81,mm,-155,-66
2023-12-29 20:58:49.075296,3.83,mm,-147,-65
2023-12-29 20:58:49.330867,3.90,mm,-145,-65
2023-12-29 20:58:49.710030,4.17,mm,-143,-65
2023-12-29 20:58:50.049857,4.31,mm,-143,-64
2023-12-29 20:58:50.455949,4.43,mm,-144,-64
2023-12-29 20:58:50.709993,4.47,mm,-138,-64
2023-12-29 20:58:51.179170,4.58,mm,-134,-64
2023-12-29 20:58:51.482740,4.69,mm,-132,-64
2023-12-29 20:58:51.747166,4.93,mm,-129,-64
2023-12-29 20:58:52.167309,5.23,mm,-125,-65
2023-12-29 20:58:52.442887,5.34,mm,-123,-65
2023-12-29 20:58:52.684485,5.58,mm,-120,-65
2023-12-29 20:58:53.019083,5.76,mm,-118,-65
2023-12-29 20:58:53.402450,6.08,mm,-116,-65
2023-12-29 20:58:53.496993,6.31,mm,-116,-65
2023-12-29 20:58:53.496993,6.41,mm,-116,-65
2023-12-29 20:58:53.497994,6.49,mm,-116,-65
2023-12-29 20:58:53.497994,6.59,mm,-116,-65
2023-12-29 20:58:53.497994,6.69,mm,-116,-65
2023-12-29 20:58:53.498994,6.93,mm,-116,-65
2023-12-29 20:58:53.684091,7.11,mm,-115,-65
2023-12-29 20:58:54.122946,7.29,mm,-115,-65
2023-12-29 20:58:54.455057,7.45,mm,-114,-65
2023-12-29 20:58:54.719114,7.60,mm,-114,-65
2023-12-29 20:58:55.011234,7.79,mm,-115,-66
2023-12-29 20:58:55.397349,7.95,mm,-114,-66
2023-12-29 20:58:55.758446,8.15,mm,-110,-66
2023-12-29 20:58:55.995331,8.27,mm,-109,-66
2023-12-29 20:58:56.258887,8.29,mm,-108,-66
2023-12-29 20:58:56.539459,8.27,mm,-107,-66
2023-12-29 20:58:56.719997,8.29,mm,-107,-66
2023-12-29 20:58:57.107114,8.69,mm,-105,-66
2023-12-29 20:58:57.491154,8.86,mm,-105,-66
2023-12-29 20:58:57.962782,9.00,mm,-104,-66
2023-12-29 20:58:58.137842,9.15,mm,-104,-66
2023-12-29 20:58:58.137842,9.39,mm,-104,-66
2023-12-29 20:58:58.218859,9.58,mm,-105,-67
2023-12-29 20:58:58.329408,9.80,mm,-105,-67
2023-12-29 20:58:58.402924,10.00,mm,-104,-67
2023-12-29 20:58:58.707524,10.17,mm,-104,-67
2023-12-29 20:58:58.976108,10.34,mm,-104,-67
2023-12-29 20:58:59.362737,10.54,mm,-102,-66
2023-12-29 20:58:59.433250,10.70,mm,-102,-66
2023-12-29 20:58:59.754828,10.80,mm,-102,-66
2023-12-29 20:59:00.240463,11.06,mm,-100,-66
2023-12-29 20:59:00.554584,11.19,mm,-100,-66
2023-12-29 20:59:00.960221,11.44,mm,-100,-66
2023-12-29 20:59:01.399572,11.67,mm,-101,-66
2023-12-29 20:59:01.965246,11.84,mm,-100,-67
2023-12-29 20:59:02.197295,12.04,mm,-100,-66
2023-12-29 20:59:02.634949,12.29,mm,-100,-66
2023-12-29 20:59:02.978530,12.49,mm,-100,-67
2023-12-29 20:59:03.306631,12.66,mm,-100,-67
2023-12-29 20:59:03.728784,13.04,mm,-101,-67
2023-12-29 20:59:04.227399,13.16,mm,-102,-67
2023-12-29 20:59:04.553544,13.28,mm,-103,-67
